district,code1,code2,description,lon,lat,other
瓯海,22657,10412,城中村,120.599772,27.994131,0
鹿城,26620,10413,低层居民区,120.682668,28.018481,70
龙湾,26490,10882,城区道路,120.82795,27.95123,90
鹿城,26620,10339,星级酒店,120.685154,28.012317,
龙湾,22524,10811,低层居民区,120.762001,27.834301,170
鹿城,22741,10812,风景区,120.66263,28.00551,310
龙湾,22394,10745,低层居民区,120.79231,27.871401,100
龙湾,22390,10746,工业园区,120.74186,27.97976,240
鹿城,22664,10449,星级酒店,120.685026,27.98529,
鹿城,22521,10450,高层居民区,120.70953,27.998601,
鹿城,26804,10340,写字楼,120.638381,28.014525,
鹿城,26493,10341,低层居民区,120.683984,27.994882,150
瓯海,22399,10377,工业园区,120.54774,27.980601,110
鹿城,26623,10848,工业园区,120.58656,28.04323,300
鹿城,22642,10849,医院,120.66754,28.00977,60
鹿城,26487,10779,商业中心,120.679655,27.99859,360
鹿城,26620,10780,商业中心,120.68025,28.01374,
鹿城,22523,10451,低层居民区,120.63301,28.01405,70
瓯海,26741,10487,乡镇,120.66947,27.96314,150
龙湾,26610,10378,机场,120.83809,27.91955,0
龙湾,26490,10414,工业园区,120.833501,27.95427,10
鹿城,26485,10883,低层居民区,120.68835,28.00878,80
瓯海,22657,10884,城区道路,120.60987,27.992001,115
瓯海,22745,10567,集贸市场,120.63754,27.98603,30
鹿城,22643,10568,低层居民区,120.660361,27.993073,205
鹿城,26485,10488,高校,120.680165,28.01007,360
鹿城,26620,10525,低层居民区,120.688316,28.012176,100
瓯海,22657,10416,普铁,120.599772,27.994131,175
瓯海,26806,10452,工业园区,120.65969,27.95724,100
鹿城,22741,10342,商业中心,120.65781,28.01034,0
鹿城,22642,10344,商业中心,120.66205,28.01188,0
鹿城,26487,10850,高层居民区,120.679259,28.000423,
瓯海,22738,10851,高速公路,120.657001,27.859001,80
瓯海,22664,10526,长途汽车站,120.67428,27.98776,85
龙湾,26490,10561,城区道路,120.807643,27.964225,350
鹿城,26613,10453,集贸市场,120.621944,28.015777,0
鹿城,22397,10489,写字楼,120.65344,28.013401,
鹿城,22642,10490,商业中心,120.659011,28.011826,
龙湾,22521,10379,高层居民区,120.713814,27.989801,
鹿城,22741,10380,写字楼,120.660501,28.010596,
龙湾,26800,10381,城区道路,120.817212,27.903581,50
鹿城,22384,10421,低层居民区,120.640527,27.998586,200
龙湾,26490,10422,城区道路,120.76311,27.97034,250
瓯海,22656,10562,乡镇,120.714666,27.978638,60
鹿城,26609,10595,集贸市场,120.59143,28.02454,100
鹿城,22741,10491,低层居民区,120.65569,28.001401,150
瓯海,22399,10527,村庄,120.57301,28.00558,0
瓯海,22646,10417,高校,120.71116,27.92659,40
鹿城,26487,10419,低层居民区,120.670694,28.005056,
鹿城,26485,10420,高层居民区,120.67225,28.01341,
鹿城,26805,10603,城区道路,120.65332,28.00628,360
瓯海,22657,10604,工业园区,120.58543,27.997401,55
龙湾,22390,10596,工业园区,120.74135,27.96854,20
龙湾,22394,10632,城区道路,120.79361,27.87833,0
鹿城,22664,10528,商业中心,120.684993,27.985485,35
鹿城,26620,10529,低层居民区,120.67825,28.01688,
瓯海,22656,10454,工业园区,120.66561,27.96724,30
鹿城,22523,10455,低层居民区,120.633001,28.014101,40
鹿城,22745,10891,工业园区,120.651159,27.983524,50
瓯海,26806,10892,工业园区,120.667001,27.954601,240
鹿城,26738,10633,风景区,120.78113,27.99111,100
鹿城,22660,10634,工业园区,120.587363,28.077531,30
鹿城,22642,10563,集贸市场,120.66944,28.01472,300
鹿城,22741,10564,商业中心,120.65388,28.00312,105
龙湾,26738,10492,高速公路,120.72822,27.95756,90
鹿城,22642,10493,城区道路,120.66512,28.01235,0
鹿城,22665,10456,城中村,120.588883,28.009333,5
鹿城,22664,10457,低层居民区,120.688143,27.986574,270
瓯海,22738,10667,村庄,120.64917,27.86421,0
鹿城,22490,10668,工业园区,120.572909,28.039679,100
龙湾,26611,10597,工业园区,120.820598,27.878615,140
鹿城,26488,10599,写字楼,120.69981,28.002701,
瓯海,22523,10530,高层居民区,120.632305,28.013323,
鹿城,22643,10531,低层居民区,120.66326,27.99435,270
瓯海,22664,10639,星级酒店,120.676001,27.985001,
鹿城,22642,10640,商业中心,120.658555,28.011456,
鹿城,22665,10702,城中村,120.595401,28.011091,40
龙湾,26490,10703,高层居民区,120.79906,27.96456,40
鹿城,22664,10600,写字楼,120.680477,27.986412,
瓯海,26806,10635,城中村,120.665556,27.95861,100
龙湾,26490,10565,城区道路,120.807643,27.964225,120
鹿城,22523,10566,低层居民区,120.631791,28.017248,100
鹿城,26493,10345,低层居民区,120.683984,27.994882,15
鹿城,26609,10346,高校,120.588957,28.036754,260
鹿城,22654,10739,写字楼,120.655201,28.027971,
鹿城,26620,10740,商业中心,120.677764,28.020918,
鹿城,22642,10741,商业中心,120.66747,28.01506,0
龙湾,26610,10636,城区道路,120.83609,27.90977,70
鹿城,22523,10669,写字楼,120.64343,28.025858,
鹿城,26805,10670,商业中心,120.655158,28.012094,
龙湾,26616,10601,城区道路,120.78597,27.94411,0
龙湾,26738,10602,工业园区,120.754801,27.966801,340
龙湾,22390,10494,中小学,120.723462,27.987698,0
鹿城,26805,10495,城区道路,120.65406,28.01058,70
鹿城,26804,10775,高层居民区,120.64916,28.00293,100
龙湾,26738,10776,工业园区,120.754801,27.966801,100
鹿城,26740,10671,乡镇,120.53869,28.08854,210
龙湾,26616,10704,城区道路,120.769205,27.944113,230
龙湾,26738,10637,城区道路,120.756705,27.958325,30
鹿城,22523,10638,低层居民区,120.65561,28.02136,360
瓯海,26810,10813,乡镇,120.64401,27.94749,20
龙湾,26490,10814,近水近海域,120.78492,27.96749,10
鹿城,26485,10808,低层居民区,120.66836,28.00877,320
鹿城,26488,10810,企事业单位,120.70721,27.99978,
龙湾,22521,10705,城区道路,120.71498,27.995577,290
鹿城,22659,10742,高速公路,120.419001,28.155301,220
瓯海,26806,10672,村庄,120.699003,27.954629,30
龙湾,26490,10673,乡镇,120.87003,27.97397,80
鹿城,22523,10382,低层居民区,120.655001,28.020001,130
鹿城,22490,10383,工业园区,120.574298,28.022133,30
瓯海,26741,10845,工业园区,120.65937,27.96676,90
瓯海,26751,10847,村庄,120.67635,27.92645,320
瓯海,26806,10744,郊区道路,120.68167,27.95361,60
龙湾,22524,10777,城区道路,120.78925,27.86632,120
鹿城,22745,10707,工业园区,120.64991,27.97699,60
鹿城,26740,10708,村庄,120.51487,28.09701,270
鹿城,22659,10532,工业园区,120.555994,28.093393,0
鹿城,26805,10533,城区道路,120.655528,28.016688,80
鹿城,22642,10880,商业中心,120.66672,28.02099,
瓯海,22656,10881,城中村,120.679907,27.972186,120
鹿城,22659,10778,村庄,120.489801,28.13391,0
鹿城,22741,10676,商业中心,120.657413,28.009115,100
瓯海,22667,10677,高铁,120.58895,27.99711,320
鹿城,26488,10463,城区道路,120.697765,28.000355,20
鹿城,26487,10464,商业中心,120.68023,28.00155,350
鹿城,26805,10749,星级酒店,120.64947,28.01193,
鹿城,22642,10750,企事业单位,120.66252,28.01522,
鹿城,26493,10711,低层居民区,120.677777,27.991388,40
瓯海,22739,10712,村庄,120.41111,28.00267,120
瓯海,22737,10607,村庄,120.567095,27.956794,90
瓯海,26741,10608,乡镇,120.66747,27.96164,0
瓯海,26806,10502,中小学,120.68672,27.96558,90
鹿城,26805,10503,星级酒店,120.65935,28.01646,150
瓯海,22659,10783,村庄,120.39741,28.07329,300
瓯海,22527,10784,高校,120.69145,27.91974,180
鹿城,22654,10747,低层居民区,120.66541,28.02496,320
鹿城,22660,10748,高速公路,120.57527,28.06499,180
鹿城,26488,10609,写字楼,120.70351,28.00115,
鹿城,22643,10644,工业园区,120.650101,27.99378,0
瓯海,22738,10538,工业园区,120.66347,27.87032,45
鹿城,22523,10539,高层居民区,120.64573,28.01676,
瓯海,22658,10817,低层居民区,120.61075,27.98848,0
龙湾,26617,10818,风景区,120.76147,27.93043,230
瓯海,22384,10781,党政军机关,120.635647,28.010035,105
瓯海,22384,10782,城中村,120.633001,28.005301,360
鹿城,26613,10645,集贸市场,120.621944,28.015777,100
鹿城,26613,10678,工业园区,120.61544,28.02347,0
瓯海,22737,10823,村庄,120.60038,27.94117,0
鹿城,26493,10824,低层居民区,120.68494,27.99076,120
鹿城,26620,10820,高层居民区,120.692051,28.018072,
鹿城,26489,10854,会展中心,120.715391,28.019267,0
鹿城,26488,10815,企事业单位,120.70357,28.00029,100
瓯海,22657,10816,城区道路,120.60987,27.992001,100
鹿城,26805,10679,商业中心,120.653401,28.016701,
鹿城,22741,10610,高层居民区,120.658237,28.008675,
龙湾,26490,10611,乡镇,120.88156,27.96714,70
瓯海,22656,10855,乡镇,120.714666,27.978638,90
